'Road Segment ID','Road Name',Route,'Target Area',Year,'Vehicle Type',Car,PUJ,UV,Taxi,PUB,Truck,Trailer,Motorcycle,Tricycle,'Total AADT'
C:1,RECTO,Manila,'Innermost beltway',2022,Passenger,27587,0,0,3554,0,0,0,0,0,31141
C:1,RECTO,Manila,'Innermost beltway',2022,Two/Three-Wheeled,0,0,0,0,0,0,0,44687,1854,46541
C:1,RECTO,Manila,'Innermost beltway',2022,Public,0,6749,0,0,90,0,0,0,0,6839
C:1,RECTO,Manila,'Innermost beltway',2022,Commercial,0,0,756,0,0,651,169,0,0,1576
C:1,RECTO,Manila,'Innermost beltway',2021,Passenger,27447,0,0,4844,0,0,0,0,0,32291
C:1,RECTO,Manila,'Innermost beltway',2021,Two/Three-Wheeled,0,0,0,0,0,0,0,45082,1660,46742
C:1,RECTO,Manila,'Innermost beltway',2021,Public,0,3980,0,0,431,0,0,0,0,4411
C:1,RECTO,Manila,'Innermost beltway',2021,Commercial,0,0,12,0,0,924,80,0,0,1016
C:1,RECTO,Manila,'Innermost beltway',2020,Passenger,28622,0,0,5395,0,0,0,0,0,34017
C:1,RECTO,Manila,'Innermost beltway',2020,Two/Three-Wheeled,0,0,0,0,0,0,0,51636,2733,54369
C:1,RECTO,Manila,'Innermost beltway',2020,Public,0,4762,0,0,814,0,0,0,0,5576
C:1,RECTO,Manila,'Innermost beltway',2020,Commercial,0,0,5,0,0,655,0,0,0,660
C:1,RECTO,Manila,'Innermost beltway',2019,Passenger,21909,0,0,2324,0,0,0,0,0,24233
C:1,RECTO,Manila,'Innermost beltway',2019,Two/Three-Wheeled,0,0,0,0,0,0,0,25439,2722,28161
C:1,RECTO,Manila,'Innermost beltway',2019,Public,0,10115,0,0,719,0,0,0,0,10834
C:1,RECTO,Manila,'Innermost beltway',2019,Commercial,0,0,2109,0,0,762,28,0,0,2899
C:1,RECTO,Manila,'Innermost beltway',2018,Passenger,24537,0,0,3040,0,0,0,0,0,27577
C:1,RECTO,Manila,'Innermost beltway',2018,Two/Three-Wheeled,0,0,0,0,0,0,0,21742,2692,24434
C:1,RECTO,Manila,'Innermost beltway',2018,Public,0,10487,0,0,1489,0,0,0,0,11976
C:1,RECTO,Manila,'Innermost beltway',2018,Commercial,0,0,2262,0,0,558,7,0,0,2827
C:1,RECTO,Manila,'Innermost beltway',2017,Passenger,21366,0,0,4069,0,0,0,0,0,25435
C:1,RECTO,Manila,'Innermost beltway',2017,Two/Three-Wheeled,0,0,0,0,0,0,0,19551,3253,22804
C:1,RECTO,Manila,'Innermost beltway',2017,Public,0,13134,0,0,545,0,0,0,0,13679
C:1,RECTO,Manila,'Innermost beltway',2017,Commercial,0,0,2172,0,0,584,3,0,0,2759
C:1,RECTO,Manila,'Innermost beltway',2016,Passenger,26154,0,0,5017,0,0,0,0,0,26154
C:1,RECTO,Manila,'Innermost beltway',2016,Two/Three-Wheeled,0,0,0,0,0,0,0,16882,5466,22348
C:1,RECTO,Manila,'Innermost beltway',2016,Public,0,13454,0,0,690,0,0,0,0,14144
C:1,RECTO,Manila,'Innermost beltway',2016,Commercial,0,0,781,0,0,703,13,0,0,716
C:1,RECTO,Manila,'Innermost beltway',2015,Passenger,30216,0,0,5017,0,0,0,0,0,30216
C:1,RECTO,Manila,'Innermost beltway',2015,Two/Three-Wheeled,0,0,0,0,0,0,0,19220,3906,23126
C:1,RECTO,Manila,'Innermost beltway',2015,Public,0,15736,0,0,643,0,0,0,0,16379
C:1,RECTO,Manila,'Innermost beltway',2015,Commercial,0,0,781,0,0,769,16,0,0,785
C:1,RECTO,Manila,'Innermost beltway',2014,Passenger,23673,0,0,5017,0,0,0,0,0,23673
C:1,RECTO,Manila,'Innermost beltway',2014,Two/Three-Wheeled,0,0,0,0,0,0,0,15063,3682,18745
C:1,RECTO,Manila,'Innermost beltway',2014,Public,0,17956,0,0,259,0,0,0,0,18215
C:1,RECTO,Manila,'Innermost beltway',2014,Commercial,0,0,781,0,0,816,382,0,0,1198
C:1,RECTO,Manila,'Innermost beltway',2013,Passenger,29237,0,0,5017,0,0,0,0,0,29237
C:1,RECTO,Manila,'Innermost beltway',2013,Two/Three-Wheeled,0,0,0,0,0,0,0,12559,1631,14190
C:1,RECTO,Manila,'Innermost beltway',2013,Public,0,17747,0,0,1073,0,0,0,0,18820
C:1,RECTO,Manila,'Innermost beltway',2013,Commercial,0,0,781,0,0,939,347,0,0,1286
C:1,RECTO,Manila,'Innermost beltway',2012,Passenger,20926,0,0,5017,0,0,0,0,0,20926
C:1,RECTO,Manila,'Innermost beltway',2012,Two/Three-Wheeled,0,0,0,0,0,0,0,7359,1828,9187
C:1,RECTO,Manila,'Innermost beltway',2012,Public,0,15845,0,0,872,0,0,0,0,16717
C:1,RECTO,Manila,'Innermost beltway',2012,Commercial,0,0,781,0,0,702,250,0,0,952
C:2,MENDOZA,Manila,'Innermost beltway',2022,Passenger,83148,0,0,5384,0,0,0,0,0,88532
C:2,MENDOZA,Manila,'Innermost beltway',2022,Two/Three-Wheeled,0,0,0,0,0,0,0,80092,1900,81992
C:2,MENDOZA,Manila,'Innermost beltway',2022,Public,0,523,0,0,155,0,0,0,0,678
C:2,MENDOZA,Manila,'Innermost beltway',2022,Commercial,0,0,243,0,0,3786,12,0,0,4041
C:2,MENDOZA,Manila,'Innermost beltway',2021,Passenger,37472,0,0,3575,0,0,0,0,0,41047
C:2,MENDOZA,Manila,'Innermost beltway',2021,Two/Three-Wheeled,0,0,0,0,0,0,0,54136,662,54798
C:2,MENDOZA,Manila,'Innermost beltway',2021,Public,0,3384,0,0,68,0,0,0,0,3452
C:2,MENDOZA,Manila,'Innermost beltway',2021,Commercial,0,0,9,0,0,8186,1897,0,0,10092
C:2,MENDOZA,Manila,'Innermost beltway',2020,Passenger,36698,0,0,2152,0,0,0,0,0,38850
C:2,MENDOZA,Manila,'Innermost beltway',2020,Two/Three-Wheeled,0,0,0,0,0,0,0,24296,2490,26786
C:2,MENDOZA,Manila,'Innermost beltway',2020,Public,0,544,0,0,251,0,0,0,0,795
C:2,MENDOZA,Manila,'Innermost beltway',2020,Commercial,0,0,44,0,0,3115,885,0,0,4044
C:2,MENDOZA,Manila,'Innermost beltway',2019,Passenger,50045,0,0,3870,0,0,0,0,0,53915
C:2,MENDOZA,Manila,'Innermost beltway',2019,Two/Three-Wheeled,0,0,0,0,0,0,0,28978,1328,30306
C:2,MENDOZA,Manila,'Innermost beltway',2019,Public,0,59,0,0,235,0,0,0,0,294
C:2,MENDOZA,Manila,'Innermost beltway',2019,Commercial,0,0,295,0,0,5592,877,0,0,6764
C:2,MENDOZA,Manila,'Innermost beltway',2018,Passenger,56353,0,0,3582,0,0,0,0,0,59935
C:2,MENDOZA,Manila,'Innermost beltway',2018,Two/Three-Wheeled,0,0,0,0,0,0,0,20673,1411,22084
C:2,MENDOZA,Manila,'Innermost beltway',2018,Public,0,94,0,0,190,0,0,0,0,284
C:2,MENDOZA,Manila,'Innermost beltway',2018,Commercial,0,0,579,0,0,5016,746,0,0,6341
C:2,MENDOZA,Manila,'Innermost beltway',2017,Passenger,49430,0,0,5358,0,0,0,0,0,54788
C:2,MENDOZA,Manila,'Innermost beltway',2017,Two/Three-Wheeled,0,0,0,0,0,0,0,21983,987,22970
C:2,MENDOZA,Manila,'Innermost beltway',2017,Public,0,56,0,0,213,0,0,0,0,269
C:2,MENDOZA,Manila,'Innermost beltway',2017,Commercial,0,0,519,0,0,5102,731,0,0,6352
C:2,MENDOZA,Manila,'Innermost beltway',2016,Passenger,51410,0,0,5017,0,0,0,0,0,51410
C:2,MENDOZA,Manila,'Innermost beltway',2016,Two/Three-Wheeled,0,0,0,0,0,0,0,21845,1247,23092
C:2,MENDOZA,Manila,'Innermost beltway',2016,Public,0,46,0,0,276,0,0,0,0,322
C:2,MENDOZA,Manila,'Innermost beltway',2016,Commercial,0,0,781,0,0,3462,265,0,0,3727
C:2,MENDOZA,Manila,'Innermost beltway',2015,Passenger,63469,0,0,5017,0,0,0,0,0,63469
C:2,MENDOZA,Manila,'Innermost beltway',2015,Two/Three-Wheeled,0,0,0,0,0,0,0,22611,984,23595
C:2,MENDOZA,Manila,'Innermost beltway',2015,Public,0,72,0,0,193,0,0,0,0,265
C:2,MENDOZA,Manila,'Innermost beltway',2015,Commercial,0,0,781,0,0,4007,506,0,0,4513
C:2,MENDOZA,Manila,'Innermost beltway',2014,Passenger,61144,0,0,5017,0,0,0,0,0,61144
C:2,MENDOZA,Manila,'Innermost beltway',2014,Two/Three-Wheeled,0,0,0,0,0,0,0,20199,633,20832
C:2,MENDOZA,Manila,'Innermost beltway',2014,Public,0,104,0,0,217,0,0,0,0,321
C:2,MENDOZA,Manila,'Innermost beltway',2014,Commercial,0,0,781,0,0,4374,398,0,0,4772
C:2,MENDOZA,Manila,'Innermost beltway',2013,Passenger,54759,0,0,5017,0,0,0,0,0,54759
C:2,MENDOZA,Manila,'Innermost beltway',2013,Two/Three-Wheeled,0,0,0,0,0,0,0,17225,1142,18367
C:2,MENDOZA,Manila,'Innermost beltway',2013,Public,0,2938,0,0,366,0,0,0,0,3304
C:2,MENDOZA,Manila,'Innermost beltway',2013,Commercial,0,0,781,0,0,5093,1000,0,0,6093
C:2,MENDOZA,Manila,'Innermost beltway',2012,Passenger,40034,0,0,5017,0,0,0,0,0,40034
C:2,MENDOZA,Manila,'Innermost beltway',2012,Two/Three-Wheeled,0,0,0,0,0,0,0,10992,325,11317
C:2,MENDOZA,Manila,'Innermost beltway',2012,Public,0,1514,0,0,319,0,0,0,0,1833
C:2,MENDOZA,Manila,'Innermost beltway',2012,Commercial,0,0,781,0,0,5253,1237,0,0,6490
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2022,Passenger,68697,0,0,3963,0,0,0,0,0,72660
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2022,Two/Three-Wheeled,0,0,0,0,0,0,0,70437,973,71410
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2022,Public,0,6,0,0,209,0,0,0,0,215
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2022,Commercial,0,0,81,0,0,3198,53,0,0,3332
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2021,Passenger,30942,0,0,2789,0,0,0,0,0,33731
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2021,Two/Three-Wheeled,0,0,0,0,0,0,0,33872,668,34540
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2021,Public,0,94,0,0,56,0,0,0,0,150
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2021,Commercial,0,0,10,0,0,3397,754,0,0,4161
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2020,Passenger,30541,0,0,2636,0,0,0,0,0,33177
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2020,Two/Three-Wheeled,0,0,0,0,0,0,0,17680,1195,18875
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2020,Public,0,176,0,0,430,0,0,0,0,606
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2020,Commercial,0,0,150,0,0,1839,769,0,0,2758
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2019,Passenger,63263,0,0,3425,0,0,0,0,0,66688
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2019,Two/Three-Wheeled,0,0,0,0,0,0,0,38103,1175,39278
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2019,Public,0,1329,0,0,48,0,0,0,0,1377
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2019,Commercial,0,0,391,0,0,7591,1442,0,0,9424
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2018,Passenger,65444,0,0,5111,0,0,0,0,0,70555
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2018,Two/Three-Wheeled,0,0,0,0,0,0,0,27239,1740,28979
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2018,Public,0,1301,0,0,113,0,0,0,0,1414
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2018,Commercial,0,0,353,0,0,6248,1043,0,0,7644
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2017,Passenger,59647,0,0,6852,0,0,0,0,0,66499
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2017,Two/Three-Wheeled,0,0,0,0,0,0,0,27686,1867,29553
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2017,Public,0,1574,0,0,99,0,0,0,0,1673
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2017,Commercial,0,0,454,0,0,5958,981,0,0,7393
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2016,Passenger,71317,0,0,5017,0,0,0,0,0,71317
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2016,Two/Three-Wheeled,0,0,0,0,0,0,0,28669,651,29320
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2016,Public,0,7277,0,0,135,0,0,0,0,7412
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2016,Commercial,0,0,781,0,0,7075,2358,0,0,9433
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2015,Passenger,76073,0,0,5017,0,0,0,0,0,76073
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2015,Two/Three-Wheeled,0,0,0,0,0,0,0,28541,527,29068
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2015,Public,0,5019,0,0,173,0,0,0,0,5192
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2015,Commercial,0,0,781,0,0,6421,3070,0,0,9491
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2014,Passenger,88806,0,0,5017,0,0,0,0,0,88806
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2014,Two/Three-Wheeled,0,0,0,0,0,0,0,25887,98,25985
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2014,Public,0,158,0,0,180,0,0,0,0,338
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2014,Commercial,0,0,781,0,0,7130,2398,0,0,9528
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2013,Passenger,94475,0,0,5017,0,0,0,0,0,94475
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2013,Two/Three-Wheeled,0,0,0,0,0,0,0,21083,524,21607
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2013,Public,0,4668,0,0,210,0,0,0,0,4878
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2013,Commercial,0,0,781,0,0,6729,2204,0,0,8933
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2012,Passenger,99264,0,0,5017,0,0,0,0,0,99264
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2012,Two/Three-Wheeled,0,0,0,0,0,0,0,23336,362,23698
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2012,Public,0,5019,0,0,500,0,0,0,0,5519
C:2,'PRES. QUIRINO AVE.',Manila,'Innermost beltway',2012,Commercial,0,0,781,0,0,7788,2556,0,0,10344
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2022,Passenger,59994,0,0,2758,0,0,0,0,0,62752
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2022,Two/Three-Wheeled,0,0,0,0,0,0,0,44877,1475,46352
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2022,Public,0,14,0,0,26,0,0,0,0,40
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2022,Commercial,0,0,16,0,0,2639,507,0,0,3162
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2021,Passenger,58726,0,0,2361,0,0,0,0,0,61087
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2021,Two/Three-Wheeled,0,0,0,0,0,0,0,36033,488,36521
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2021,Public,0,0,0,0,1,0,0,0,0,1
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2021,Commercial,0,0,9,0,0,2200,447,0,0,2656
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2020,Passenger,35696,0,0,3867,0,0,0,0,0,39563
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2020,Two/Three-Wheeled,0,0,0,0,0,0,0,38154,2237,40391
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2020,Public,0,762,0,0,21,0,0,0,0,783
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2020,Commercial,0,0,23,0,0,3546,661,0,0,4230
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2019,Passenger,42708,0,0,3672,0,0,0,0,0,46380
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2019,Two/Three-Wheeled,0,0,0,0,0,0,0,36526,2908,39434
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2019,Public,0,2172,0,0,30,0,0,0,0,2202
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2019,Commercial,0,0,2,0,0,3718,697,0,0,4417
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2018,Passenger,38740,0,0,3604,0,0,0,0,0,42344
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2018,Two/Three-Wheeled,0,0,0,0,0,0,0,30289,2151,32440
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2018,Public,0,1351,0,0,10,0,0,0,0,1361
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2018,Commercial,0,0,19,0,0,4610,445,0,0,5074
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2017,Passenger,40306,0,0,4207,0,0,0,0,0,44513
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2017,Two/Three-Wheeled,0,0,0,0,0,0,0,26107,2675,28782
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2017,Public,0,1945,0,0,6,0,0,0,0,1951
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2017,Commercial,0,0,14,0,0,4163,607,0,0,4784
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2016,Passenger,43654,0,0,5017,0,0,0,0,0,43654
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2016,Two/Three-Wheeled,0,0,0,0,0,0,0,26081,2712,28793
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2016,Public,0,1998,0,0,23,0,0,0,0,2021
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2016,Commercial,0,0,781,0,0,4135,599,0,0,4734
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2015,Passenger,54670,0,0,5017,0,0,0,0,0,54670
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2015,Two/Three-Wheeled,0,0,0,0,0,0,0,25111,2769,27880
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2015,Public,0,2228,0,0,21,0,0,0,0,2249
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2015,Commercial,0,0,781,0,0,4393,528,0,0,4921
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2014,Passenger,68009,0,0,5017,0,0,0,0,0,68009
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2014,Two/Three-Wheeled,0,0,0,0,0,0,0,21649,1124,22773
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2014,Public,0,1473,0,0,18,0,0,0,0,1491
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2014,Commercial,0,0,781,0,0,4291,796,0,0,5087
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2013,Passenger,74498,0,0,5017,0,0,0,0,0,74498
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2013,Two/Three-Wheeled,0,0,0,0,0,0,0,21375,1111,22486
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2013,Public,0,1572,0,0,26,0,0,0,0,1598
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2013,Commercial,0,0,781,0,0,6297,815,0,0,7112
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2012,Passenger,51390,0,0,5017,0,0,0,0,0,51390
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2012,Two/Three-Wheeled,0,0,0,0,0,0,0,14730,671,15401
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2012,Public,0,1432,0,0,55,0,0,0,0,1487
C:3,'ARANETA AVE.',Navotas-Pasay,'Innermost beltway',2012,Commercial,0,0,781,0,0,4401,411,0,0,4812
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2022,Passenger,202764,0,0,18186,0,0,0,0,0,220950
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2022,Two/Three-Wheeled,0,0,0,0,0,0,0,151847,20,151867
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2022,Public,0,1803,0,0,5588,0,0,0,0,7391
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2022,Commercial,0,0,2475,0,0,2295,119,0,0,4889
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2021,Passenger,199402,0,0,19287,0,0,0,0,0,218689
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2021,Two/Three-Wheeled,0,0,0,0,0,0,0,141564,16,141580
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2021,Public,0,1638,0,0,5527,0,0,0,0,7165
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2021,Commercial,0,0,2604,0,0,2188,45,0,0,4837
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2020,Passenger,193788,0,0,19316,0,0,0,0,0,213104
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2020,Two/Three-Wheeled,0,0,0,0,0,0,0,107509,4,107513
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2020,Public,0,225,0,0,3645,0,0,0,0,3870
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2020,Commercial,0,0,1423,0,0,2136,68,0,0,3627
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2019,Passenger,255732,0,0,18913,0,0,0,0,0,274645
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2019,Two/Three-Wheeled,0,0,0,0,0,0,0,110167,9,110176
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2019,Public,0,2166,0,0,11313,0,0,0,0,13479
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2019,Commercial,0,0,6285,0,0,1297,0,0,0,7582
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2018,Passenger,251628,0,0,20871,0,0,0,0,0,272499
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2018,Two/Three-Wheeled,0,0,0,0,0,0,0,86082,15,86097
C:4,EDSA,Navotas-Pasay,'Innermost beltway',2018,Public,0,1940,0,0,13356,0,0,0,0,15296
